year	reader_i	reader_j	dyad	trt_i	trt_j	birds_i	birds_j	dist_ij	pfor_ij	count	active_days
2015	LOM_NE	M1_S	LOM_NE-M1_S	connected	connected	0	1	3.29067060034881	0.955188679245283	0	64
2015	LOM_NE	M2_C	LOM_NE-M2_C	connected	center	0	6	4.53689684696489	0.828389830508475	0	64
2015	LOM_NE	M2_E	LOM_NE-M2_E	connected	connected	0	1	4.39369241071789	0.769574944071588	0	64
2015	LOM_NE	M2_N	LOM_NE-M2_N	connected	connected	0	6	4.76405751434636	0.75152749490835	0	64
2015	LOM_NE	M2_S	LOM_NE-M2_S	connected	forest	0	0	4.29967556915635	0.789934354485777	0	64
2015	LOM_NE	M2_W	LOM_NE-M2_W	connected	isolated	0	1	4.68033246682327	0.827380952380952	0	64
2015	LOM_SE	LOM_C	LOM_C-LOM_SE	isolated	center	0	0	0.272347204869079	0.375	0	64
2015	LOM_SE	LOM_N	LOM_N-LOM_SE	isolated	forest	0	0	0.469282430951767	0.46031746031746	0	64
2015	LOM_SE	LOM_NE	LOM_NE-LOM_SE	isolated	connected	0	0	0.303506177861341	0.885714285714286	0	64
2015	LOM_SE	LOM_W	LOM_SE-LOM_W	isolated	forest	0	0	0.42850904307844	0.76	0	64
2015	LOM_SE	M1_C	LOM_SE-M1_C	isolated	center	0	5	3.75107238000015	0.909836065573771	0	64
2015	LOM_SE	M1_E	LOM_SE-M1_E	isolated	isolated	0	4	3.63630760525014	0.944099378881988	0	64
2015	LOM_SE	M1_NE	LOM_SE-M1_NE	isolated	forest	0	0	3.99037091007841	0.9021113243762	0	64
2015	LOM_SE	M1_NW	LOM_SE-M1_NW	isolated	connected	0	1	3.9190714461464	0.889558232931727	0	64
2015	LOM_SE	M1_S	LOM_SE-M1_S	isolated	connected	0	1	3.58859763696071	0.956331877729258	0	64
2015	LOM_SE	M2_C	LOM_SE-M2_C	isolated	center	0	6	4.83508562488815	0.77710843373494	0	64
2015	LOM_SE	M2_E	LOM_SE-M2_E	isolated	connected	0	1	4.69310909738949	0.742071881606765	0	64
2015	LOM_SE	M2_N	LOM_SE-M2_N	isolated	connected	0	6	5.06287270233017	0.731141199226306	0	64
2015	LOM_SE	M2_S	LOM_SE-M2_S	isolated	forest	0	0	4.59660853238559	0.780538302277433	0	64
2015	LOM_SE	M2_W	LOM_SE-M2_W	isolated	isolated	0	1	4.97629942829006	0.794339622641509	0	64
2015	LOM_W	LOM_C	LOM_C-LOM_W	forest	center	0	0	0.258265367403374	0.675675675675676	0	64
2015	LOM_W	LOM_N	LOM_N-LOM_W	forest	forest	0	0	0.427076105629898	0.866666666666667	0	64
